City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,302.18,65,98,4.12,CK,1706672978
1,longyearbyen,78.2186,15.6401,268.06,63,75,5.66,SJ,1706672979
2,tiksi,71.6872,128.8694,246.52,97,65,1.67,RU,1706672979
3,recreo,-29.2818,-65.061,302.18,30,5,7.26,AR,1706672979
4,ribeira grande,38.5167,-28.7,286.91,87,29,3.13,PT,1706672979
5,grytviken,-54.2811,-36.5092,276.16,77,20,5.15,GS,1706672741
6,cidreira,-30.1811,-50.2056,292.79,91,9,2.7,BR,1706672980
7,waitangi,-43.9535,-176.5597,290.83,98,100,1.79,NZ,1706672980
8,blackmans bay,-43.0167,147.3167,296.22,47,84,3.57,AU,1706672980
9,talnakh,69.4865,88.3972,254.93,79,100,4.49,RU,1706672981
10,vorgashor,67.5833,63.95,259.89,95,100,4.5,RU,1706672981
11,port-aux-francais,-49.35,70.2167,277.17,74,88,13.7,TF,1706672981
12,adamstown,-25.066,-130.1015,298.77,76,100,11.95,PN,1706672981
13,berezovyy,51.6667,135.7,256.16,65,9,0.83,RU,1706672981
14,fonte boa,-2.4959,-66.2662,299.44,81,100,1.21,BR,1706672982
15,ust-nera,64.5667,143.2,243.86,97,100,2.15,RU,1706672982
16,puerto natales,-51.7236,-72.4875,281.48,86,55,1.7,CL,1706672982
17,bilibino,68.0546,166.4372,239.43,99,100,0.16,RU,1706672983
18,aasiaat,68.7098,-52.8699,243.94,94,60,5.77,GL,1706672983
19,punta arenas,-53.15,-70.9167,282.21,66,0,3.6,CL,1706672983
20,curup,-3.4667,102.5333,301.56,63,94,0.4,ID,1706672983
21,chibougamau,49.9168,-74.3659,264.94,86,100,2.57,CA,1706672984
22,bereznik,62.8551,42.7072,269.19,92,81,2.81,RU,1706672984
23,hermanus,-34.4187,19.2345,293.04,78,100,2.24,ZA,1706672984
24,carauari,-4.8828,-66.8958,297.29,96,100,0.53,BR,1706672984
25,puerto ayora,-0.7393,-90.3518,298.38,88,95,4.19,EC,1706672985
26,waddan,29.1614,16.139,280.2,84,8,2.57,LY,1706672985
27,isangel,-19.55,169.2667,300.07,74,44,2.03,VU,1706672985
28,kidal,18.4411,1.4078,289.21,27,0,5.34,ML,1706672985
29,olonkinbyen,70.9221,-8.7187,269.18,75,100,6.58,SJ,1706672986
30,kodiak,57.79,-152.4072,261.88,48,0,0.0,US,1706672986
31,mejit,10.2753,170.8646,299.37,83,100,8.79,MH,1706672986
32,port elizabeth,-33.918,25.5701,294.44,89,0,2.57,ZA,1706672986
33,ad dilam,23.9915,47.1627,291.38,36,98,4.02,SA,1706672987
34,nova sintra,14.8667,-24.7167,294.04,60,0,5.24,CV,1706672987
35,wailua homesteads,22.0669,-159.378,296.59,80,75,2.06,US,1706672987
36,hamilton,39.1834,-84.5333,276.36,95,100,4.02,US,1706672987
37,bethel,41.3712,-73.414,274.46,77,100,3.6,US,1706672988
38,papatowai,-46.5619,169.4708,291.52,48,76,3.57,NZ,1706672988
39,bemidji,47.4736,-94.8803,275.31,96,0,2.57,US,1706672988
40,mount pearl,47.5166,-52.7813,268.07,84,100,7.2,CA,1706672988
41,arraial do cabo,-22.9661,-42.0278,298.01,92,42,3.22,BR,1706672989
42,turinsk,58.0458,63.696,263.62,96,100,2.14,RU,1706672989
43,san antonio de pale,-1.4014,5.6325,301.08,77,99,2.55,GQ,1706672989
44,albany,42.6001,-73.9662,272.69,85,100,2.22,US,1706672989
